,Player,Salary 2022/23,MP,FG,FGA,2P,2PA,FT,FTA,AST,TOV,PTS,WS,VORP
445,Noah Vonleh,2463490,7.4,0.5,1.0,0.4,0.9,0.1,0.1,0.3,0.5,1.1,0.2,-0.2
446,Nikola Vucevic,22000000,33.2,6.7,13.0,5.0,8.5,1.8,2.1,2.9,1.8,16.8,3.3,1.3
447,Dean Wade,1930681,24.1,2.2,4.9,0.9,1.6,0.5,0.8,1.0,0.4,6.4,1.1,0.3
448,Franz Wagner,5258280,33.3,7.2,15.0,5.7,10.6,3.9,4.5,3.5,2.2,19.9,2.5,0.5
449,Moritz Wagner,1878720,25.4,4.2,8.6,3.2,5.2,3.0,3.3,2.2,1.6,12.4,1.4,0.3
450,Ish Wainright,633891,14.2,1.3,3.4,0.3,0.9,0.2,0.3,0.9,0.3,3.8,0.7,0.2
451,Jabari Walker,1017781,8.7,0.8,2.0,0.6,1.4,0.4,0.6,0.5,0.3,2.0,0.2,-0.1
452,Kemba Walker,38800988,17.6,2.9,7.0,2.0,3.5,2.1,2.6,2.4,0.5,8.8,0.3,0.0
453,Lonnie Walker IV,6479000,29.8,5.3,11.7,3.3,6.3,2.0,2.3,1.4,1.0,14.7,1.4,0.1
454,John Wall,47345760,22.1,4.1,9.8,3.1,6.5,2.4,3.5,5.2,2.4,11.5,0.7,0.2
455,TJ Warren,2628597,19.8,4.1,7.6,3.6,5.9,0.9,1.0,1.5,0.6,9.5,0.7,0.1
456,Duane Washington Jr,508891,10.7,2.8,7.0,1.7,3.8,0.2,0.5,1.5,0.7,6.8,-0.2,-0.1
457,PJ Washington,5808435,32.0,5.6,13.1,3.7,7.6,1.9,2.4,2.3,1.5,14.9,1.1,0.1
458,TyTy Washington Jr,2210040,10.7,1.3,3.8,1.1,2.1,0.3,0.5,1.3,0.3,3.2,0.0,-0.2
459,Yuta Watanabe,1968175,18.7,2.8,5.1,1.3,2.2,0.6,0.8,0.9,0.4,7.7,1.6,0.4
460,Lindy Waters III,502080,11.8,1.3,3.5,0.1,0.2,0.2,0.3,0.8,0.3,3.8,0.2,0.0
461,Trendon Watford,1563518,17.1,1.9,3.4,1.6,2.6,1.3,1.6,1.7,1.0,5.3,1.1,0.1
462,Peyton Watson,2193960,2.5,0.5,1.5,0.5,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
463,Blake Wesley,2385480,11.5,3.0,4.5,2.0,3.0,1.0,2.0,2.0,1.0,8.0,0.1,0.0
464,Russell Westbrook,47063478,27.9,5.4,13.2,4.3,9.3,2.6,3.9,7.7,3.6,14.5,0.2,0.3
465,Coby White,7413955,20.1,2.7,6.5,1.2,2.2,0.9,1.1,1.8,0.8,7.9,0.8,0.0
466,Derrick White,16892857,26.2,3.4,7.6,1.9,3.5,1.8,2.1,3.2,1.0,10.0,2.7,0.8
467,Jack White,508891,3.0,0.1,0.7,0.1,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0
468,Aaron Wiggins,1563518,19.0,2.4,5.0,1.8,3.2,1.0,1.2,1.5,0.9,6.6,1.0,0.0
469,Andrew Wiggins,33616770,32.8,7.4,14.5,4.4,7.7,1.2,2.0,2.2,1.4,19.1,1.9,0.8
470,Alondes Williams,508891,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.1,0.0
471,Grant Williams,4306281,27.5,3.0,5.8,1.4,2.2,1.2,1.4,1.6,1.0,8.8,2.7,0.5
472,Jalen Williams,4341480,27.6,4.6,9.1,3.9,6.5,1.5,2.0,2.8,1.6,11.5,1.4,0.0
473,Jaylin Williams,2000000,11.9,1.1,3.2,0.8,2.1,0.5,0.9,1.1,0.5,3.0,0.1,-0.1
474,Kenrich Williams,2000000,21.4,3.0,5.7,2.2,3.7,0.4,0.8,1.5,0.5,7.3,1.8,0.3
475,Mark Williams,3722040,13.2,2.4,4.1,2.4,4.1,1.6,2.0,0.4,1.2,6.4,0.3,0.0
476,Patrick Williams,7775400,28.7,3.7,8.0,2.3,4.6,1.0,1.1,1.3,1.4,9.8,1.2,0.0
477,Robert Williams,10937502,18.9,3.6,4.3,3.6,4.3,1.1,1.4,1.1,1.1,8.3,0.7,0.2
478,Vince Williams Jr,508891,5.5,0.4,1.4,0.3,0.4,0.0,0.0,0.4,0.0,0.9,0.1,0.0
479,Ziaire Williams,4591680,16.2,1.9,5.4,1.5,2.8,0.4,0.4,1.3,1.5,4.6,-0.2,-0.3
480,Zion Williamson,13534817,33.0,9.8,16.2,9.6,15.5,6.1,8.6,4.6,3.4,26.0,4.0,1.9
481,Justise Winslow,4097561,26.8,2.8,6.8,2.3,5.3,0.7,1.0,3.4,1.5,6.8,0.8,-0.1
482,James Wiseman,9603360,12.7,2.8,4.6,2.7,4.5,1.2,1.8,0.7,0.7,6.8,0.6,0.0
483,Christian Wood,14317459,27.8,6.6,12.1,4.8,7.6,2.8,3.9,1.6,2.1,17.8,2.8,1.0
484,Delon Wright,7804878,19.2,1.8,4.9,1.2,2.5,1.0,1.3,3.3,0.6,5.2,0.5,0.4
485,McKinley Wright IV,508891,10.9,0.9,1.9,0.9,1.5,0.0,0.3,1.3,0.6,1.8,0.1,-0.1
486,Thaddeus Young,8000000,17.2,2.2,4.1,2.1,3.4,0.4,0.6,1.7,0.8,5.0,1.5,0.3
487,Trae Young,37096500,35.7,8.6,20.8,6.4,13.7,7.8,8.7,9.9,3.8,27.3,2.9,1.4
488,Ivica Zubac,10123457,29.9,4.0,6.4,4.0,6.4,2.2,3.2,1.0,2.1,10.2,3.2,0.2
