,Player,Salary 2022/23,MP,FG,FGA,2P,2PA,FT,FTA,AST,TOV,PTS,WS,VORP
86,Nic Claxton,8500000,28.1,5.3,7.3,5.3,7.3,1.2,2.7,1.4,1.2,11.9,4.1,1.2
87,Amir Coffey,3395062,13.9,1.2,3.0,0.9,2.1,1.1,1.4,1.2,0.4,3.8,0.5,-0.2
88,John Collins,23500000,31.0,5.1,10.1,4.3,6.9,2.3,2.8,1.3,1.3,13.2,2.0,0.3
89,Zach Collins,7350000,20.6,3.6,6.3,2.9,4.7,1.5,2.1,2.4,2.1,9.2,0.8,0.1
90,Mike Conley,22680000,29.3,3.4,8.8,1.6,3.8,1.6,2.1,7.5,1.7,10.1,1.8,0.4
91,Pat Connaughton,5728393,22.1,2.6,7.4,0.8,1.7,0.5,0.8,1.0,0.5,7.5,0.6,-0.1
92,Robert Covington,12307692,15.2,1.8,4.7,0.9,1.7,0.8,0.9,1.1,0.7,5.2,0.5,0.1
93,Torrey Craig,5121951,24.9,3.1,6.7,1.8,3.2,0.6,0.7,1.5,0.7,8.2,2.3,0.6
94,Jarrett Culver,508891,13.7,1.7,4.3,1.6,3.1,0.9,1.3,0.6,0.7,4.4,0.1,-0.1
95,Cade Cunningham,10552800,33.3,7.8,18.7,6.3,13.6,3.0,3.6,6.0,3.3,19.9,-0.1,0.1
96,Seth Curry,8496653,21.3,3.3,7.4,1.5,3.3,0.7,0.7,2.2,0.9,9.1,1.0,0.0
97,Stephen Curry,48070014,34.4,10.1,20.2,5.0,8.5,4.8,5.2,6.8,3.1,30.0,4.1,2.6
98,Dyson Daniels,5508600,18.8,1.7,3.8,1.1,2.3,0.5,0.9,2.1,0.9,4.6,1.1,0.2
99,Anthony Davis,37980720,33.4,10.2,17.2,9.8,15.9,6.6,8.0,2.6,1.9,27.4,4.9,2.2
100,Johnny Davis,4810320,5.0,0.4,1.3,0.4,1.0,0.3,0.3,0.2,0.1,1.1,0.0,-0.1
101,Terence Davis,4000000,12.7,2.4,5.4,1.1,1.8,0.5,0.6,1.2,0.8,6.6,0.6,0.2
102,JD Davison,508891,2.7,0.3,1.3,0.3,0.7,0.0,0.0,0.3,0.3,0.7,0.0,0.0
103,Dewayne Dedmon,7448674,12.0,2.3,4.6,1.9,3.2,1.1,1.6,0.6,0.7,6.2,0.9,0.1
104,Matthew Dellavedova,2628597,6.7,0.5,1.5,0.3,0.9,0.1,0.2,1.3,0.4,1.2,0.0,-0.1
105,DeMar DeRozan,27300000,36.3,9.4,18.7,9.0,17.2,7.3,8.2,4.9,1.9,26.6,4.8,1.5
106,Moussa Diabate,508891,11.3,1.6,3.0,1.6,3.0,0.9,1.1,0.3,0.6,4.1,0.3,0.0
107,Mamadi Diakite,508891,7.2,0.8,1.8,0.5,0.8,0.0,0.0,0.2,0.4,2.0,0.1,0.0
108,Hamidou Diallo,5200000,15.0,2.7,5.2,2.5,4.6,1.5,2.5,0.9,0.9,7.0,0.6,0.0
109,Gorgui Dieng,2905851,11.6,1.5,3.7,0.8,1.2,0.2,0.3,2.0,0.9,4.1,0.2,0.0
110,Ousmane Dieng,4569840,15.7,1.8,4.2,1.1,1.8,0.1,0.3,1.4,0.5,4.4,0.2,0.0
111,Spencer Dinwiddie,20171427,32.9,5.6,12.3,3.0,5.9,2.2,2.6,5.1,1.5,16.1,3.5,1.0
112,Donte DiVincenzo,4500000,23.6,2.4,6.2,0.9,1.9,0.7,0.8,3.0,1.4,7.2,1.1,0.2
113,Luka Doncic,37096500,37.0,11.5,22.8,8.6,14.6,8.3,11.2,8.9,3.6,34.3,7.4,4.4
114,Tyler Dorsey,201802,2.7,1.3,1.7,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.1,0.0
115,Luguentz Dort,15277778,30.3,4.8,11.8,3.0,6.5,2.7,3.5,2.3,1.6,14.1,1.3,-0.3
116,Ayo Dosunmu,1563518,27.3,4.0,7.9,3.1,5.1,1.0,1.3,2.7,1.4,9.9,1.4,0.0
117,Devon Dotson,412377,8.8,0.2,1.7,0.0,1.0,0.0,0.0,1.3,0.5,0.5,0.0,0.0
118,Jeff Dowtin,508891,7.6,1.1,2.1,1.0,1.7,0.3,0.3,1.0,0.2,2.5,0.2,0.1
119,Goran Dragic,2905851,16.9,3.0,6.8,1.9,4.0,0.7,1.0,2.9,1.2,7.7,0.3,-0.2
120,Andre Drummond,3200000,13.9,2.6,4.5,2.6,4.5,1.0,1.6,0.7,1.1,6.2,1.3,0.1
121,Chris Duarte,3936960,17.4,2.2,6.8,1.2,3.3,1.1,1.3,1.2,0.7,6.5,-0.3,-0.4
122,David Duke Jr,508891,9.0,1.4,3.1,1.4,2.6,0.3,0.6,0.9,0.9,3.0,-0.2,-0.3
123,Kevin Durant,44119845,36.1,10.7,18.8,8.9,14.0,6.8,7.2,5.5,3.5,29.9,6.3,3.2
124,Jalen Duren,4124280,24.3,3.2,5.1,3.2,5.1,1.1,1.9,1.0,1.2,7.6,2.2,0.1
125,Tari Eason,3359160,18.8,3.1,7.2,2.3,5.2,1.2,1.6,0.8,1.0,8.2,1.3,0.2
126,Anthony Edwards,10733400,36.9,8.7,18.8,6.1,11.6,4.2,5.6,4.4,3.2,24.2,2.2,0.9
127,Kessler Edwards,1637966,5.7,0.5,1.7,0.3,0.8,0.1,0.2,0.2,0.3,1.2,-0.1,-0.1
128,Keon Ellis,508891,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
129,Joel Embiid,33616770,35.5,11.3,21.1,10.2,18.0,9.9,11.6,4.6,3.9,33.5,5.1,2.7
130,Drew Eubanks,1968175,18.7,2.5,3.3,2.4,3.3,0.9,1.3,1.0,0.8,5.9,2.3,0.6
131,Bruno Fernando,2717391,11.0,1.4,2.6,1.4,2.5,0.9,1.4,0.9,0.5,3.7,0.6,0.1
132,Dorian Finney-Smith,12402000,31.6,3.0,7.5,1.1,2.1,0.5,0.8,1.2,0.9,8.4,1.1,0.1
133,Malachi Flynn,2145720,15.5,2.2,5.7,0.9,2.6,0.5,0.6,1.4,0.6,6.1,0.4,-0.1
134,Simone Fontecchio,3205128,9.0,1.3,3.4,0.4,1.0,0.4,0.7,0.4,0.5,3.9,0.1,-0.1
135,Bryn Forbes,2298385,10.6,1.1,3.3,0.7,1.6,0.6,0.6,0.6,0.4,3.2,-0.1,-0.3
136,Trent Forrest,508891,14.1,1.5,3.1,1.5,2.9,0.1,0.2,1.9,0.5,3.1,0.2,-0.1
137,Michael Foster Jr,106288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Evan Fournier,18000000,18.9,2.4,6.8,0.9,2.4,0.9,1.1,1.4,1.0,7.1,0.1,-0.1
139,De'Aaron Fox,30351780,33.0,8.9,17.6,7.2,12.6,4.5,5.6,5.9,2.6,23.9,3.1,1.2
140,Markelle Fultz,16500000,26.8,4.7,10.2,4.2,8.8,1.5,2.2,5.2,2.3,11.4,0.6,0.1
141,Wenyen Gabriel,1878720,14.4,2.3,3.8,2.1,3.2,1.0,1.3,0.5,0.7,5.8,1.2,0.0
142,Daniel Gafford,1930681,16.4,3.1,4.2,3.1,4.2,1.3,2.1,0.6,0.9,7.4,2.6,0.5
143,Darius Garland,8920794,35.9,7.4,16.4,4.9,10.2,4.2,4.8,7.8,3.2,21.4,3.3,1.2
144,Usman Garuba,2471160,14.6,1.3,2.6,1.1,2.0,0.5,0.9,1.0,0.8,3.4,1.2,0.3
145,Luka Garza,508891,7.1,1.9,3.1,1.8,2.4,1.5,1.7,0.4,0.4,5.4,0.4,0.1
146,Rudy Gay,6184500,15.5,1.7,4.8,1.1,2.3,0.5,0.7,0.7,0.7,4.4,-0.1,-0.3
147,Paul George,42492492,34.6,8.3,18.3,5.2,10.2,4.6,5.2,5.3,3.6,24.4,2.7,1.5
148,Taj Gibson,2905851,9.0,1.3,2.5,1.2,2.0,0.7,0.9,0.5,0.5,3.5,0.4,0.0
149,Josh Giddey,6287400,30.6,6.5,13.8,5.5,10.7,1.2,1.5,5.3,3.1,15.3,1.0,0.4
150,Shai Gilgeous-Alexander,30913750,35.7,10.2,20.6,9.2,17.7,9.4,10.3,5.7,3.3,30.9,5.1,2.6
151,Anthony Gill,1836090,9.7,1.1,1.8,1.0,1.4,0.5,0.5,0.5,0.2,2.6,0.7,-0.1
152,Rudy Gobert,38172414,31.3,5.2,7.7,5.2,7.6,3.2,4.8,0.9,1.6,13.5,3.9,0.7
153,Jordan Goodwin,508891,19.0,2.7,5.7,2.0,4.0,0.9,1.2,2.8,0.9,6.9,1.5,0.6
154,Aaron Gordon,19690909,30.4,6.6,11.3,5.6,8.7,3.0,4.7,2.4,1.6,17.1,3.3,1.0
155,Eric Gordon,19568360,29.7,4.0,9.6,2.1,4.3,1.7,2.1,2.3,1.7,11.5,0.4,-0.3
156,Devonte' Graham,11550000,15.0,1.5,4.3,0.3,0.8,0.9,1.1,2.1,0.5,5.1,1.2,0.3
157,Jerami Grant,20955000,35.8,7.5,15.3,4.8,9.3,4.7,5.9,2.7,1.9,22.5,3.9,1.3
158,AJ Green,508891,8.3,1.3,2.8,0.4,0.6,0.3,0.3,0.4,0.3,3.8,0.4,0.1
