,Player,Pos,Age,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2022/23,2023/24,2024/25,2025/26,2026/27,2027/28
56,Malcolm Brogdon,PG,30,BOS,23.6,4.6,9.7,.474,1.8,4.0,.445,2.8,5.6,.495,.567,2.5,2.9,.876,0.8,3.3,4.1,3.9,0.6,0.3,1.6,1.4,13.5,18.7,.616,.416,.295,3.6,15.2,9.5,24.3,1.1,0.9,13.1,23.1,1.8,0.8,2.6,.156,2.7,-0.1,2.6,0.9,22600000,22500000,22500000,0,0,0
57,Dillon Brooks,SG,27,MEM,30.7,6.4,15.6,.407,2.1,6.4,.336,4.2,9.3,.455,.475,2.2,2.7,.796,0.7,2.8,3.4,2.8,0.8,0.2,1.7,3.3,17.0,11.2,.506,.407,.174,2.3,9.2,5.8,12.9,1.2,0.5,9.3,24.7,0.0,1.2,1.2,.051,-2.3,-0.8,-3.1,-0.3,11400000,0,0,0,0,0
58,Bruce Brown,PG,26,DEN,29.0,4.4,8.8,.497,1.3,3.3,.408,3.0,5.5,.550,.573,1.0,1.2,.804,0.8,3.4,4.2,3.9,0.9,0.6,1.6,2.4,11.1,13.7,.593,.374,.138,3.2,13.2,8.3,17.9,1.6,2.0,14.7,16.4,1.3,1.0,2.2,.097,-0.3,0.3,0.1,0.6,6479000,6802950,0,0,0,0
59,Greg Brown III,PF,21,POR,6.5,0.8,1.9,.429,0.1,0.5,.167,0.7,1.4,.533,.452,0.5,1.1,.417,0.2,0.9,1.1,0.0,0.4,0.5,0.5,0.8,2.2,7.5,.457,.286,.571,3.2,15.6,9.5,0.0,2.7,6.1,16.0,18.9,-0.2,0.1,0.0,-0.033,-7.7,0.9,-6.8,-0.1,1563518,1836096,0,0,0,0
60,Jaylen Brown,SF,26,BOS,35.4,10.1,20.4,.497,2.5,7.5,.335,7.6,12.9,.591,.558,4.2,5.4,.785,1.2,5.8,7.0,3.3,1.1,0.5,3.1,2.8,27.0,20.2,.593,.366,.265,3.6,17.9,10.9,15.9,1.5,1.2,11.8,31.6,1.4,1.7,3.0,.108,2.0,-0.5,1.5,1.2,28741071,30723214,0,0,0,0
61,Kendall Brown,SG,19,IND,6.7,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,9.3,.571,.143,.286,5.6,10.8,8.2,9.9,4.7,0.0,20.2,10.4,0.0,0.1,0.1,.085,-6.8,4.0,-2.8,0.0,508891,1761752,0,0,0,0
62,Moses Brown,C,23,LAC,7.7,1.7,2.7,.620,0.0,0.0,,1.7,2.7,.620,.620,1.0,2.2,.453,1.6,2.1,3.7,0.1,0.1,0.4,0.3,1.0,4.4,23.9,.593,.000,.810,22.7,29.0,25.9,2.2,0.7,4.7,8.5,22.8,0.5,0.4,0.9,.199,0.8,-1.1,-0.3,0.1,508891,1761752,0,0,0,0
63,Sterling Brown,SG,27,LAL,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,-5.2,.000,1.000,.000,0.0,20.7,10.8,22.4,0.0,0.0,0.0,8.4,0.0,0.0,0.0,-0.092,-13.9,-0.1,-14.0,0.0,3000000,0,0,0,0,0
64,Troy Brown Jr,SF,23,LAL,22.4,2.5,5.6,.439,1.1,3.0,.358,1.4,2.6,.533,.536,0.5,0.5,1.000,0.8,3.1,3.9,0.7,0.7,0.1,0.8,1.3,6.5,9.1,.560,.541,.097,3.9,14.4,9.3,4.2,1.6,0.4,11.7,12.4,0.2,0.7,0.9,.052,-2.4,0.2,-2.2,0.0,1968175,0,0,0,0,0
65,Jalen Brunson,PG,26,NYK,33.0,7.6,16.2,.468,1.6,4.3,.380,6.0,12.0,.499,.517,4.1,4.9,.836,0.5,2.9,3.4,6.6,1.0,0.1,2.2,2.3,20.9,19.5,.569,.263,.304,1.5,9.5,5.5,32.2,1.5,0.4,10.5,26.4,2.8,1.1,3.9,.155,3.0,-0.4,2.6,1.4,27733332,26346666,24960001,24960001,0,0
66,Thomas Bryant,C,25,LAL,21.9,5.2,7.6,.685,0.5,1.2,.467,4.7,6.4,.725,.721,2.0,2.7,.718,1.8,5.3,7.2,0.9,0.4,0.5,0.9,2.1,12.9,23.0,.734,.152,.360,9.3,25.2,17.6,6.4,0.9,2.1,9.5,18.7,1.9,0.7,2.6,.218,2.9,-0.3,2.5,0.7,1968175,0,0,0,0,0
67,Reggie Bullock,SF,31,DAL,28.9,1.7,5.0,.347,1.3,4.2,.317,0.4,0.8,.500,.480,0.4,0.6,.667,0.4,2.9,3.4,1.2,0.7,0.2,0.5,2.1,5.2,5.6,.494,.837,.122,1.8,12.1,6.9,5.4,1.2,0.6,8.0,9.0,-0.1,0.8,0.8,.033,-3.5,-0.1,-3.5,-0.4,10012800,10489600,0,0,0,0
68,Alec Burks,SG,31,DET,22.0,4.3,9.2,.464,2.0,4.4,.447,2.3,4.8,.479,.571,3.5,4.3,.800,0.3,2.7,3.0,2.2,0.8,0.1,1.1,2.2,14.0,18.9,.629,.478,.471,1.3,14.2,7.5,16.0,1.8,0.5,9.0,23.5,1.7,0.3,2.0,.144,2.8,-0.2,2.6,0.8,10012800,10489600,0,0,0,0
69,Jimmy Butler,SF,33,MIA,34.7,7.3,14.1,.516,0.7,2.1,.328,6.6,12.0,.549,.541,6.3,7.6,.825,2.1,4.3,6.4,5.6,2.1,0.3,1.7,1.3,21.6,25.4,.617,.152,.539,6.6,15.0,10.6,26.7,3.1,0.9,9.0,24.5,3.2,1.5,4.7,.241,5.2,2.4,7.6,2.3,37653300,45183960,48798677,52413394,0,0
70,John Butler,C,20,POR,3.8,0.3,0.8,.333,0.0,0.5,.000,0.3,0.3,1.000,.333,0.0,0.0,,0.3,0.3,0.5,0.3,0.0,0.3,0.0,0.0,0.5,7.9,.333,.667,.000,7.7,7.5,7.6,8.7,0.0,5.9,0.0,8.7,0.0,0.0,0.0,.035,-2.4,-0.5,-2.9,0.0,503041,1761752,0,0,0,0
71,Jamal Cain,SF,23,MIA,10.5,1.7,3.1,.548,0.1,0.6,.167,1.6,2.5,.640,.565,0.5,0.9,.556,0.8,1.4,2.2,0.5,0.5,0.0,0.2,1.0,4.0,14.9,.572,.194,.290,8.4,16.2,12.1,7.3,2.4,0.0,5.4,15.5,0.2,0.1,0.3,.137,-2.2,1.2,-1.0,0.0,508891,1761752,0,0,0,0
72,Kentavious Caldwell-Pope,SG,29,DEN,31.4,4.0,8.5,.472,2.1,4.4,.479,1.9,4.1,.465,.596,1.2,1.5,.839,0.4,2.6,3.1,2.3,1.1,0.3,1.2,2.1,11.4,11.5,.621,.515,.173,1.7,9.4,5.6,9.4,1.7,0.9,11.4,14.3,1.3,0.9,2.2,.087,-0.9,-0.4,-1.3,0.2,14004703,14704938,15440185,0,0,0
73,Facundo Campazzo,PG,31,DAL,6.5,0.4,1.6,.231,0.4,1.4,.273,0.0,0.3,.000,.346,0.1,0.3,.500,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3,8.1,.360,.846,.154,0.0,4.6,2.3,23.2,5.8,0.0,17.8,14.7,-0.1,0.1,0.0,-0.002,-4.6,3.5,-1.1,0.0,464299,0,0,0,0,0
74,Vlatko Cancar,PF,25,DEN,13.3,2.0,3.7,.534,1.0,2.0,.500,1.0,1.7,.574,.670,0.4,0.4,.909,0.5,1.5,2.0,1.1,0.4,0.2,0.7,1.7,5.3,13.3,.686,.544,.107,4.2,12.8,8.6,11.3,1.3,1.5,15.0,14.8,0.6,0.3,0.9,.116,0.1,-0.3,-0.2,0.2,2234359,2234359,2346606,0,0,0
75,Clint Capela,C,28,ATL,27.5,5.4,8.6,.636,0.0,0.0,,5.4,8.6,.636,.636,1.1,1.9,.600,4.3,7.6,11.9,0.7,0.6,1.3,1.0,2.4,12.0,21.7,.640,.000,.216,16.5,30.0,23.1,3.9,1.1,4.1,9.3,15.8,1.9,1.2,3.1,.197,1.8,0.0,1.8,0.7,18706896,21116000,22765280,0,0,0
76,Vernon Carey Jr,C,21,WAS,2.1,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,.333,0.0,0.0,,0.1,0.6,0.7,0.1,0.1,0.3,0.3,0.3,0.3,7.4,.333,.000,.000,7.6,28.6,18.4,8.3,3.2,11.3,40.0,14.5,-0.1,0.0,0.0,-0.063,-8.7,3.5,-5.1,0.0,1782621,1930681,0,0,0,0
77,Jevon Carter,PG,27,MIL,25.2,2.8,6.9,.403,1.3,3.5,.377,1.4,3.3,.431,.500,0.5,0.6,.870,0.6,2.3,2.9,3.0,1.2,0.5,1.4,2.1,7.4,9.8,.518,.515,.086,2.4,9.5,6.0,16.3,2.2,1.7,16.0,14.1,0.1,1.4,1.5,.072,-3.1,1.9,-1.2,0.2,6025000,2239943,0,0,0,0
78,Wendell Carter Jr,C,23,ORL,30.8,5.7,10.8,.527,1.1,3.4,.333,4.5,7.3,.617,.580,3.3,4.2,.787,2.1,6.5,8.6,2.9,0.4,0.5,2.3,3.0,15.8,17.4,.626,.319,.394,7.8,23.8,15.8,14.5,0.7,1.7,15.6,21.0,1.0,0.6,1.7,.123,0.8,-0.3,0.5,0.4,14150000,13050000,11950000,10850000,0,0
