,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
64,Moses Brown,824041,TOT,C,8.2,1.7,2.7,1.7,2.7,0.9,2.0,0.4,4.3,1.1,0.1
65,Sterling Brown,3122602,LAL,SG,6.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
66,Troy Brown Jr,1968175,LAL,SF,24.5,2.6,6.1,1.2,2.4,0.4,0.5,0.6,7.1,2.9,0.5
67,Jalen Brunson,27733332,NYK,PG,35.0,8.6,17.6,6.7,12.8,4.8,5.8,2.1,24.0,8.7,3.5
68,Thomas Bryant,1968175,TOT,C,18.3,3.9,6.3,3.5,5.3,1.6,2.1,0.6,9.8,4.1,0.7
69,Reggie Bullock,10012800,DAL,SF,30.3,2.5,6.0,0.5,0.9,0.3,0.5,0.5,7.2,2.8,-0.4
70,Alec Burks,10012800,DET,SG,22.0,3.9,9.0,2.0,4.3,3.0,3.7,1.1,12.8,2.5,0.9
71,Deonte Burton,105522,SAC,SG,3.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
72,Jared Butler,1674655,OKC,SG,12.8,2.5,5.3,1.3,3.0,0.0,0.0,0.8,6.2,0.1,0.0
73,Jimmy Butler,37653300,MIA,SF,33.4,7.5,13.9,6.9,12.3,7.4,8.7,1.6,22.9,12.3,5.8
74,John Butler,503041,POR,C,11.6,0.9,2.8,0.5,0.9,0.2,0.2,0.1,2.4,0.0,-0.2
75,Jamal Cain,508891,MIA,SF,13.3,2.1,3.7,1.7,2.6,0.9,1.2,0.3,5.4,0.8,0.2
76,Kentavious Caldwell-Pope,14004703,DEN,SG,31.3,3.8,8.3,2.1,4.1,1.4,1.6,1.1,10.8,4.5,0.6
77,Facundo Campazzo,464299,DAL,PG,6.5,0.4,1.6,0.0,0.3,0.1,0.3,0.4,1.3,0.0,0.0
78,Vlatko Cancar,2234359,DEN,PF,14.8,1.8,3.8,1.1,1.9,0.6,0.7,0.6,5.0,1.7,0.0
79,Clint Capela,18706896,ATL,C,26.6,5.4,8.2,5.4,8.2,1.2,2.0,0.8,12.0,7.2,1.8
80,Vernon Carey Jr,1882621,WAS,C,2.5,0.2,0.7,0.2,0.7,0.2,0.2,0.2,0.5,0.0,0.0
81,Jevon Carter,6025000,MIL,PG,22.3,3.0,7.0,1.2,2.8,0.4,0.5,1.0,8.0,3.5,0.6
82,Wendell Carter Jr,14150000,ORL,C,29.6,5.6,10.8,4.2,6.8,2.5,3.4,1.9,15.2,4.6,1.3
83,Michael Carter-Williams,652829,ORL,PG,11.0,1.5,3.5,1.3,2.8,1.0,1.8,1.0,4.3,0.0,0.0
84,Alex Caruso,9030000,CHI,PG,23.5,1.9,4.3,1.1,2.0,0.9,1.1,1.1,5.6,3.6,1.2
85,Julian Champagnie,508891,TOT,SF,18.8,3.5,7.6,1.5,2.8,0.8,1.0,0.6,9.7,0.4,-0.1
86,Justin Champagnie,853241,TOT,SF,6.8,1.0,3.0,0.8,2.0,0.0,0.0,0.0,2.2,0.0,-0.1
87,Kennedy Chandler,1200000,MEM,PG,7.8,1.0,2.3,0.9,1.9,0.2,0.4,0.5,2.2,0.3,0.0
88,Max Christie,1017781,LAL,SG,12.5,1.1,2.6,0.4,1.1,0.3,0.4,0.3,3.1,0.6,-0.1
89,Josh Christopher,2372160,HOU,SG,12.3,2.4,5.1,2.1,3.8,0.7,0.9,0.9,5.8,0.0,-0.5
90,Brandon Clarke,4343919,MEM,PF,19.5,4.1,6.2,4.1,6.1,1.8,2.4,1.0,10.0,4.5,1.3
91,Jordan Clarkson,13340000,UTA,SG,32.6,7.5,16.9,5.0,9.4,3.3,4.0,3.0,20.8,1.7,0.3
92,Nic Claxton,8500000,BRK,C,29.9,5.4,7.7,5.4,7.7,1.8,3.2,1.3,12.6,9.2,2.9
93,Amir Coffey,3395062,LAC,SG,12.5,1.1,2.9,0.9,2.1,1.0,1.3,0.4,3.4,0.4,-0.5
94,John Collins,23500000,ATL,PF,30.0,5.1,10.0,4.1,6.6,2.0,2.5,1.1,13.1,4.2,0.4
95,Zach Collins,7350000,SAS,C,22.9,4.5,8.7,3.6,6.4,1.7,2.3,2.0,11.6,2.2,0.6
96,Mike Conley,22680000,TOT,PG,30.3,3.9,9.1,1.9,3.9,2.1,2.5,1.5,11.9,5.5,1.5
97,Pat Connaughton,5728393,MIL,SG,23.7,2.7,6.9,0.9,1.6,0.4,0.7,0.5,7.6,2.5,0.3
98,Xavier Cooks,140384,WAS,PF,12.6,1.7,2.8,1.7,2.7,0.4,1.0,0.8,3.8,0.2,-0.1
99,Robert Covington,12307692,LAC,PF,16.2,2.1,4.8,1.0,1.9,0.6,0.8,0.7,6.0,1.9,0.7
100,Torrey Craig,5121951,PHO,SF,24.7,2.9,6.3,1.6,3.1,0.4,0.6,0.9,7.4,4.0,0.7
