,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
419,Derrick Rose,14520730,NYK,PG,12.5,2.3,5.9,1.6,3.6,0.4,0.4,0.8,5.6,0.0,-0.1
420,Terrence Ross,11500000,TOT,SG,21.1,3.2,7.4,1.7,3.3,0.4,0.5,0.7,8.3,1.6,0.0
421,Terry Rozier,21486316,CHO,SG,35.3,7.8,18.9,5.2,10.8,2.8,3.5,2.1,21.1,1.7,0.8
422,Ricky Rubio,5853659,CLE,PG,17.2,1.8,5.4,1.2,2.9,0.8,1.1,0.9,5.2,0.7,-0.1
423,D'Angelo Russell,31377750,TOT,PG,32.5,6.3,13.4,3.5,6.5,2.5,3.0,2.6,17.8,5.1,2.0
424,Matt Ryan,806097,TOT,SF,9.1,1.2,3.2,0.2,0.7,0.3,0.4,0.2,3.6,0.3,-0.1
425,Domantas Sabonis,18500000,SAC,C,34.6,7.3,11.9,6.9,10.8,4.1,5.5,2.9,19.1,12.6,5.4
426,Luka Samanic,538317,UTA,PF,23.0,3.7,8.1,2.6,3.7,1.3,1.9,1.4,9.9,0.2,0.0
427,Dario Saric,9240000,TOT,PF,14.1,2.2,4.9,1.4,2.8,1.1,1.3,1.0,6.4,1.7,0.1
428,Olivier Sarr,90665,OKC,C,12.7,1.7,3.3,1.6,2.4,0.6,0.8,0.4,4.0,0.2,-0.1
429,Jordan Schakel,96514,WAS,SF,3.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0
430,Admiral Schofield,877940,ORL,PF,12.2,1.5,3.3,0.8,1.3,0.6,0.6,0.4,4.2,0.8,-0.1
431,Dennis Schroder,2641682,LAL,PG,30.1,4.1,9.8,3.0,6.4,3.3,3.8,1.7,12.6,2.8,-0.4
432,Jay Scrubb,49719,ORL,SG,15.0,2.5,3.5,1.5,2.5,0.5,1.0,1.5,6.5,0.1,0.0
433,Dereon Seabron,511816,NOP,SG,2.4,0.4,1.0,0.4,1.0,0.0,0.0,0.0,0.8,0.0,0.0
434,Alperen Sengun,3375360,HOU,C,28.9,5.9,10.7,5.6,9.9,2.7,3.8,2.6,14.8,5.2,1.9
435,Collin Sexton,16500000,UTA,SG,23.9,4.9,9.8,3.9,7.2,3.4,4.1,1.8,14.3,2.5,0.2
436,Landry Shamet,9500000,PHO,SG,20.2,2.8,7.5,1.0,2.5,1.1,1.3,0.9,8.7,1.2,0.1
437,Day'Ron Sharpe,2109480,BRK,C,11.5,1.9,3.6,1.8,3.3,0.7,1.1,0.9,4.7,1.6,0.0
438,Shaedon Sharpe,6012960,POR,SG,22.2,3.8,8.1,2.6,4.6,0.9,1.3,1.0,9.9,1.2,-0.6
439,Pascal Siakam,35448672,TOR,C,37.4,8.9,18.5,7.6,14.5,5.2,6.7,2.4,24.2,7.8,3.5
440,Chris Silva,211045,DAL,PF,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
441,Ben Simmons,35448672,BRK,PG,26.3,3.2,5.6,3.2,5.5,0.6,1.4,2.3,6.9,2.2,0.7
442,Kobi Simmons,32795,CHO,PG,5.6,0.2,1.2,0.0,0.2,0.4,0.4,0.2,1.0,0.0,0.0
443,Marko Simonovic,1563518,CHI,C,2.9,0.3,1.0,0.1,0.4,0.1,0.3,0.0,0.9,0.0,-0.1
444,Anfernee Simons,22321429,POR,SG,35.0,7.5,16.9,4.1,7.8,2.6,2.9,2.1,21.1,2.5,0.5
445,Jericho Sims,1639842,NYK,C,15.6,1.6,2.1,1.6,2.0,0.2,0.3,0.5,3.4,2.6,0.3
446,Marcus Smart,17207142,BOS,PG,32.1,4.1,9.9,2.2,4.3,1.4,1.9,2.3,11.5,3.7,0.5
447,Dennis Smith Jr,2133278,CHO,PG,25.7,3.4,8.4,3.0,6.3,1.4,2.0,1.5,8.8,1.1,-0.1
448,Dru Smith,374357,TOT,SG,10.5,1.2,3.0,0.9,1.7,0.2,0.2,0.2,2.9,0.3,0.0
449,Ish Smith,4725000,DEN,PG,9.3,1.2,3.0,1.2,2.8,0.0,0.1,1.0,2.5,-0.5,-0.5
450,Jabari Smith Jr,8882640,HOU,PF,31.0,4.6,11.3,3.1,6.3,2.1,2.6,1.3,12.8,1.9,-1.1
451,Jalen Smith,4670160,IND,PF,18.8,3.6,7.5,2.8,4.7,1.5,2.0,1.1,9.4,2.3,0.0
452,Xavier Sneed,102910,CHO,SF,12.0,1.3,2.5,0.5,1.0,1.0,1.0,0.8,4.3,0.1,0.0
453,Jeremy Sochan,5063520,SAS,PF,26.0,4.5,9.9,3.9,7.5,1.4,2.1,1.7,11.0,0.2,-0.7
454,Jaden Springer,2125200,PHI,SG,5.6,1.1,2.2,0.9,1.9,0.4,0.5,0.2,2.6,0.3,0.1
455,Lamar Stevens,1782621,CLE,PF,18.1,2.1,4.6,1.6,3.1,0.6,0.9,0.4,5.3,1.9,-0.2
456,Isaiah Stewart,3433320,DET,C,28.3,3.9,8.8,2.6,4.7,2.2,3.0,1.4,11.3,2.0,0.0
457,Max Strus,1815677,MIA,SF,28.4,4.1,9.9,1.6,2.8,1.0,1.1,0.9,11.5,3.4,0.2
458,Jalen Suggs,6922320,ORL,PG,23.5,3.5,8.4,2.3,4.6,1.6,2.2,1.8,9.9,1.4,0.3
459,Edmond Sumner,1968175,BRK,SG,13.9,2.3,5.1,1.8,3.4,1.9,2.0,0.9,7.1,1.3,-0.1
460,Cole Swider,508891,LAL,SF,5.9,0.4,1.3,0.0,0.1,0.0,0.0,0.0,1.3,0.1,0.0
461,Jae'Sean Tate,7065217,HOU,SF,21.8,3.5,7.4,3.1,5.9,1.6,2.2,1.5,9.1,0.7,-0.3
462,Jayson Tatum,30351780,BOS,PF,36.9,9.8,21.1,6.6,11.8,7.2,8.4,2.9,30.1,10.5,5.1
463,Terry Taylor,1703902,TOT,PF,8.5,1.3,2.4,1.1,1.8,0.2,0.4,0.3,2.9,0.3,-0.1
464,Garrett Temple,5155500,NOP,SG,6.5,0.7,1.8,0.3,0.8,0.1,0.2,0.2,2.0,0.3,0.0
465,Dalen Terry,3191400,CHI,SG,5.6,0.8,1.9,0.7,1.2,0.4,0.6,0.2,2.2,0.5,0.1
466,Daniel Theis,8694369,IND,C,15.6,3.0,6.3,2.7,4.7,0.7,1.7,0.4,7.0,0.1,0.0
467,Cam Thomas,2138160,BRK,SG,16.6,3.5,8.0,2.6,5.7,2.6,3.1,1.1,10.6,1.0,-0.2
468,Klay Thompson,40600080,GSW,SG,33.0,7.9,18.1,3.6,7.6,1.7,1.9,1.8,21.9,3.1,1.0
469,JT Thor,1563518,CHO,PF,14.0,1.4,3.4,0.8,1.7,0.5,0.7,0.6,3.8,0.2,-0.7
470,Matisse Thybulle,4379526,TOT,SG,16.9,1.5,3.6,0.8,1.5,0.3,0.4,0.3,4.1,2.1,0.4
471,Xavier Tillman Sr,1782621,MEM,PF,19.3,3.1,5.0,3.0,4.8,0.8,1.5,0.7,7.0,4.2,1.2
472,Isaiah Todd,1575000,WAS,PF,10.2,0.5,3.0,0.3,1.3,0.3,0.3,0.3,1.5,-0.2,-0.2
473,Obi Toppin,5348280,NYK,PF,15.7,2.8,6.3,1.5,2.6,0.6,0.7,0.6,7.4,2.1,0.4
474,Juan Toscano-Anderson,2133278,TOT,SF,13.5,1.2,2.8,1.1,1.9,0.4,0.5,0.7,3.0,0.5,-0.3
475,Karl-Anthony Towns,33833400,MIN,PF,33.0,7.3,14.8,5.2,9.1,4.1,4.7,3.0,20.8,2.7,1.2
476,Gary Trent Jr,17505000,TOR,SG,32.1,6.1,14.2,3.6,7.3,2.6,3.1,0.8,17.4,4.5,1.1
477,PJ Tucker,10490000,PHI,PF,25.6,1.3,3.0,0.5,1.1,0.3,0.3,0.6,3.5,2.5,-0.5
478,Myles Turner,35096500,IND,C,29.4,6.5,11.8,5.0,7.8,3.5,4.5,1.7,18.0,5.4,1.9
479,Stanley Umude,58493,DET,SG,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
480,Jonas Valanciunas,14700000,NOP,C,24.9,5.6,10.3,5.2,8.9,2.3,2.8,2.0,14.1,5.8,0.8
481,Jarred Vanderbilt,4374000,TOT,PF,24.1,3.2,5.8,2.8,4.6,1.2,1.8,1.2,7.9,5.2,1.5
482,Fred VanVleet,21250000,TOR,PG,36.7,6.3,16.1,3.3,7.3,3.7,4.1,2.0,19.3,6.5,2.9
483,Devin Vassell,4437000,SAS,SG,31.0,6.9,15.7,4.2,8.7,2.1,2.6,1.5,18.5,1.2,0.7
484,Gabe Vincent,1815677,MIA,PG,25.9,3.4,8.3,1.6,3.2,1.0,1.1,1.4,9.4,1.4,-0.6
485,Noah Vonleh,1160955,BOS,C,7.4,0.5,1.0,0.4,0.9,0.1,0.1,0.5,1.1,0.2,-0.2
486,Nikola Vucevic,22000000,CHI,C,33.5,7.3,14.0,5.8,9.8,1.6,1.9,1.7,17.6,8.3,3.2
487,Dean Wade,1930681,CLE,PF,20.3,1.7,4.0,0.6,1.1,0.3,0.5,0.4,4.7,1.8,0.3
488,Franz Wagner,5258280,ORL,SF,32.6,6.8,14.0,5.2,9.5,3.4,4.0,2.1,18.6,5.4,1.3
489,Moritz Wagner,1878720,ORL,C,19.5,3.5,6.9,2.6,4.1,2.7,3.2,1.2,10.5,3.4,0.7
490,Ish Wainright,980057,PHO,SF,15.3,1.4,3.8,0.5,0.9,0.4,0.5,0.4,4.2,1.7,0.2
491,Jabari Walker,1017781,POR,SF,11.1,1.5,3.5,1.2,2.5,0.6,0.8,0.5,3.9,0.2,-0.6
492,Kemba Walker,37281261,DAL,PG,16.0,2.7,6.3,1.9,3.2,1.9,2.3,0.4,8.0,0.3,0.1
493,Lonnie Walker IV,6479000,LAL,SG,23.2,4.2,9.4,2.6,5.0,1.6,1.9,0.8,11.7,1.8,0.2
494,John Wall,47345760,LAC,PG,22.2,4.1,9.9,3.1,6.7,2.3,3.3,2.4,11.4,0.3,0.1
495,TJ Warren,2628597,TOT,PF-SF,16.4,3.1,6.4,2.6,4.8,0.7,0.8,0.5,7.5,1.2,0.0
496,Duane Washington Jr,628802,PHO,SG,12.7,3.0,8.3,1.7,4.7,0.5,0.8,1.1,7.9,-0.5,-0.3
497,PJ Washington,5808435,CHO,PF,32.6,5.9,13.4,3.9,7.5,1.7,2.4,1.5,15.7,2.6,0.4
498,TyTy Washington Jr,2210040,HOU,PG,14.0,1.9,5.2,1.3,2.6,0.3,0.6,0.5,4.7,-0.1,-0.5
499,Yuta Watanabe,1968175,BRK,SF,16.0,2.0,4.0,0.9,1.7,0.6,0.8,0.4,5.6,2.1,0.3
500,Lindy Waters III,2316876,OKC,SG,13.0,1.7,4.3,0.3,0.4,0.4,0.5,0.2,5.2,1.1,0.3
501,Trendon Watford,1563518,POR,PF,19.1,2.9,5.2,2.5,4.2,1.2,1.6,1.1,7.4,2.1,0.1
502,Peyton Watson,2193960,DEN,SG,8.1,1.3,2.6,1.0,2.0,0.5,0.9,0.3,3.3,0.3,0.0
503,Blake Wesley,2385480,SAS,SG,18.1,1.9,5.8,1.3,4.4,0.7,1.2,1.8,5.0,-1.6,-1.3
504,Russell Westbrook,47080179,TOT,PG,29.1,5.9,13.6,4.7,9.7,2.8,4.3,3.5,15.9,1.9,1.2
505,Coby White,7413955,CHI,SG,23.4,3.6,8.0,1.8,3.4,0.8,0.9,1.0,9.7,3.1,0.5
506,Derrick White,16892857,BOS,SG,28.3,4.3,9.2,2.5,4.5,2.0,2.3,1.2,12.4,7.4,2.6
507,Jack White,508891,DEN,SF,3.9,0.5,1.1,0.3,0.6,0.1,0.2,0.1,1.2,0.1,0.0
508,Joe Wieskamp,2909261,TOR,SF,5.6,0.3,1.6,0.0,0.2,0.0,0.0,0.1,1.0,-0.1,-0.1
509,Aaron Wiggins,1563518,OKC,SG,18.5,2.7,5.2,2.0,3.4,0.8,1.0,0.8,6.8,2.6,0.0
510,Andrew Wiggins,33616770,GSW,SF,32.2,6.8,14.3,4.4,8.2,1.2,1.9,1.3,17.1,2.3,0.5
511,Lindell Wigginton,99438,MIL,PG,12.4,2.6,5.3,1.7,2.7,1.1,1.3,1.7,7.1,0.1,-0.1
512,Alondes Williams,254446,BRK,SG,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.1,0.0
513,Donovan Williams,239822,ATL,SG,2.0,1.0,2.5,1.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0
514,Grant Williams,4306281,BOS,PF,25.9,2.7,6.0,1.3,2.3,1.2,1.5,1.0,8.1,4.4,0.5
515,Jalen Williams,4341480,OKC,SG,30.3,5.5,10.6,4.5,7.9,2.1,2.5,1.6,14.1,5.6,1.3
516,Jaylin Williams,2000000,OKC,PF,18.7,2.1,4.8,1.1,2.5,0.8,1.1,0.8,5.9,1.9,0.1
517,Jeenathan Williams,52644,POR,SG,25.4,4.8,7.8,4.2,6.2,0.4,0.6,0.8,10.6,0.3,0.0
518,Kenrich Williams,2000000,OKC,PF,22.8,3.4,6.5,2.4,4.0,0.3,0.7,0.6,8.0,3.3,0.8
519,Mark Williams,3722040,CHO,C,19.3,3.7,5.8,3.7,5.8,1.6,2.3,0.9,9.0,2.8,0.4
520,Patrick Williams,7775400,CHI,PF,28.3,3.8,8.3,2.4,4.9,1.1,1.3,1.2,10.2,3.5,0.4
521,Robert Williams,10937502,BOS,C,23.5,3.6,4.9,3.6,4.8,0.7,1.2,1.0,8.0,3.8,1.1
522,Vince Williams Jr,508891,MEM,SG,7.0,0.8,2.7,0.5,0.8,0.1,0.1,0.3,2.0,-0.1,-0.2
523,Ziaire Williams,4591680,MEM,SF,15.2,2.3,5.3,1.6,2.7,0.5,0.6,1.0,5.7,0.1,-0.5
524,Zion Williamson,13534817,NOP,PF,33.0,9.8,16.2,9.6,15.5,6.1,8.6,3.4,26.0,3.6,1.9
525,Dylan Windler,4037277,CLE,SF,3.3,0.7,1.0,0.3,0.3,0.0,0.0,0.3,1.7,0.0,0.0
526,Justise Winslow,4097561,POR,SF,26.8,2.8,6.8,2.3,5.3,0.7,1.0,1.5,6.8,0.4,-0.2
527,James Wiseman,9603360,TOT,C,19.3,4.2,7.5,4.1,7.1,1.5,2.2,1.1,10.0,1.4,-0.3
528,Christian Wood,14317459,DAL,C,25.9,5.9,11.5,4.3,7.3,3.2,4.2,1.8,16.6,4.8,1.6
529,Delon Wright,7804878,WAS,PG,24.4,2.8,5.8,1.9,3.4,1.0,1.2,0.9,7.4,3.7,1.7
530,McKinley Wright IV,508891,DAL,PG,12.4,1.7,3.6,1.4,2.6,0.5,0.7,0.7,4.2,0.5,-0.1
531,Gabe York,32171,IND,SG,18.7,2.7,7.0,0.7,1.0,0.7,0.7,0.0,8.0,0.1,0.0
532,Thaddeus Young,8000000,TOR,PF,14.7,2.0,3.7,1.9,3.0,0.3,0.5,0.8,4.4,1.8,0.4
533,Trae Young,37096500,ATL,PG,34.8,8.2,19.0,6.1,12.7,7.8,8.8,4.1,26.2,6.7,3.4
534,Omer Yurtseven,1752638,MIA,C,9.2,1.8,3.0,1.4,2.2,0.6,0.7,0.4,4.4,0.3,0.0
535,Cody Zeller,743922,MIA,C,14.5,2.5,3.9,2.5,3.8,1.6,2.3,0.9,6.5,0.7,0.0
536,Ivica Zubac,10123457,LAC,C,28.6,4.3,6.8,4.3,6.7,2.2,3.1,1.5,10.8,6.7,0.6
