Team,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Op_eFG%,Op_TOV%,DRB%,FT/FGA4,Attend.,Attend./G,Payroll_Over_Avg,Playoff_W
Memphis Grizzlies,2018,240.3,36.7,82.8,0.444,9.2,26.2,0.352,27.5,56.5,0.486,16.6,21.1,0.786,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3,26,22,-6.21,0.39,-5.81,104.5,111,-6.5,94.9,0.255,0.317,0.539,0.5,14,22.4,0.201,0.529,13.8,76.5,0.256,653863,15948,1.121559475,0
Miami Heat,2018,243,38.8,85.3,0.455,11,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,26.5,44,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.229,0.358,0.551,0.52,13.3,21.5,0.173,0.507,13.1,79,0.215,804850,19630,1.150049476,1
Milwaukee Bucks,2018,241.8,39.7,83,0.478,8.8,24.7,0.355,31,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,25.9,44,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,685303,16856,1.077835929,3
Minnesota Timberwolves,2018,241.5,41,86.1,0.476,8,22.5,0.357,33,63.6,0.519,19.4,24.1,0.804,10.3,31.6,42,22.7,8.4,4.2,12.5,18.2,109.5,27.1,47,2.23,0.12,2.35,113.4,111.1,2.3,96,0.28,0.261,0.566,0.523,11.4,24.4,0.225,0.539,13.9,76.4,0.189,699308,17056,1.100648405,1
New Orleans Pelicans,2018,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7,27.6,48,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.237,0.319,0.573,0.541,13.3,20,0.183,0.513,12.5,76.7,0.175,673920,16437,0.934203664,5
New York Knicks,2018,241.8,40.7,87.7,0.464,8.2,23.3,0.352,32.5,64.4,0.504,14.9,19,0.787,10.5,33.6,44,23.3,6.7,5.1,14.7,20.5,104.5,26.3,29,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.216,0.266,0.544,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.208,792608,19332,0.588588565,0
Oklahoma City Thunder,2018,241.8,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9,27.3,48,3.41,0,3.42,110.7,107.2,3.5,96.7,0.275,0.345,0.546,0.514,12.4,27.7,0.197,0.525,14.7,77.4,0.193,746322,18203,1.294948788,2
Orlando Magic,2018,240.6,38.8,85.9,0.452,10.3,29.3,0.351,28.5,56.5,0.504,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,25.6,25,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.238,0.342,0.545,0.512,13.3,20,0.18,0.525,12.8,75.6,0.187,734531,17915,1.056561497,0
Philadelphia 76ers,2018,241.2,40.8,86.6,0.472,11,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,25.8,52,4.5,-0.2,4.3,109.5,105,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,833503,20361,1.008438285,5
Phoenix Suns,2018,240.3,38.5,87.1,0.442,9.3,27.9,0.334,29.1,59.2,0.492,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22,103.9,23.7,21,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,690576,16843,0.645582293,0
Portland Trail Blazers,2018,240.9,39.3,87,0.452,10.3,28.1,0.366,29,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7,5.2,13.5,19.5,105.6,25.6,49,2.6,0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,795750,19409,1.200186007,0
Sacramento Kings,2018,240.9,38.8,86.1,0.45,9,24,0.375,29.8,62.1,0.479,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20,98.8,26.4,27,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,714680,17431,0.865297281,0
San Antonio Spurs,2018,240.6,39,85.4,0.457,8.5,24.1,0.352,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,29.3,47,2.89,0,2.89,107.9,104.8,3.1,95,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,754562,18404,0.951100998,1
Toronto Raptors,2018,241.8,41.3,87.4,0.472,11.8,33,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7,25.8,59,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23,0.198,0.501,13,77.7,0.212,813431,19840,1.269106399,4
Utah Jazz,2018,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,26.7,48,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,734806,17922,1.063603966,5
Washington Wizards,2018,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30,59.1,0.508,16.8,21.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,26.9,43,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,739302,18032,1.086850227,2
Atlanta Hawks,2017,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,27.9,43,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,654306,15959,0.655110278,2
Boston Celtics,2017,240.9,38.6,85.1,0.454,12,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108,25.9,53,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,760690,18553,1.12201475,9
Brooklyn Nets,2017,240.9,37.8,85.2,0.444,10.7,31.6,0.338,27.1,53.6,0.506,19.4,24.6,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21,105.8,26,20,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,632608,15429,0.865929797,0
Charlotte Hornets,2017,241.8,37.7,85.4,0.442,10,28.6,0.351,27.7,56.7,0.488,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7,4.8,11.5,16.6,104.9,26.5,36,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,710643,17333,1.138987119,0
Chicago Bulls,2017,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31,64.8,0.479,18,22.5,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,26.9,41,0.43,-0.39,0.03,107.4,107,0.4,95.3,0.259,0.256,0.53,0.487,12.3,27,0.206,0.507,12.4,76.8,0.169,888882,21680,0.620141893,2
Cleveland Cavaliers,2017,242.4,39.9,84.9,0.47,13,33.9,0.384,26.9,51,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4,13.7,18.1,110.3,29.2,51,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,843042,20562,1.319208134,13
Dallas Mavericks,2017,241.2,36.2,82.3,0.44,10.7,30.2,0.355,25.5,52.2,0.489,14.8,18.5,0.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,27.6,33,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,811366,19789,0.760217487,0
Denver Nuggets,2017,240.9,41.2,87.7,0.469,10.6,28.8,0.368,30.6,58.9,0.519,18.7,24.2,0.774,11.8,34.6,46.4,25.3,6.9,3.9,15,19.1,111.7,25.2,40,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.276,0.329,0.568,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.194,605585,14672,0.988884755,0
Detroit Pistons,2017,241.5,39.9,88.8,0.449,7.7,23.4,0.33,32.2,65.5,0.492,13.9,19.3,0.719,11.1,34.6,45.7,21.1,7,3.8,11.9,17.9,101.3,25.4,37,-1.12,-0.17,-1.29,106,107.1,-1.1,95,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,655141,15979,1.098304627,0
Golden State Warriors,2017,241.2,43.1,87.1,0.495,12,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35,44.4,30.4,9.6,6.8,14.8,19.3,115.9,28.2,67,11.63,-0.28,11.35,115.6,104,11.6,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,803436,19596,1.298162562,16
Houston Rockets,2017,241.2,40.3,87.2,0.462,14.4,40.3,0.357,25.9,46.9,0.552,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,27.4,55,5.77,0.08,5.84,114.7,109,5.7,100,0.304,0.462,0.583,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.194,695903,16973,1.112327894,6
Indiana Pacers,2017,242.1,39.3,84.5,0.465,8.6,23,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9,33,42,22.5,8.2,5,13.8,19.5,105.1,27,42,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.261,0.272,0.558,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,684578,16697,0.875228782,0
Los Angeles Clippers,2017,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,55.8,0.525,19.3,26,0.745,9,34,43,22.5,7.5,4.2,13,19.8,108.7,30,51,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,782609,19088,1.128431508,3
Los Angeles Lakers,2017,240.3,39.3,87.4,0.45,8.9,25.7,0.346,30.4,61.6,0.493,17,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,25.1,26,-6.88,0.58,-6.29,106,113,-7,98.5,0.259,0.295,0.537,0.501,13.5,25,0.195,0.542,13,75.8,0.213,776917,18949,0.911830706,0
Memphis Grizzlies,2017,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27,57.1,0.473,18.3,23.4,0.784,10.8,32,42.8,21.3,8,4.2,12.9,22.4,100.5,29.5,43,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.28,0.316,0.535,0.491,12.1,24.8,0.219,0.506,13.6,77.5,0.256,677314,16520,0.971927184,2
Miami Heat,2017,241.2,39,85.8,0.455,9.9,27,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33,43.6,21.2,7.2,5.7,13.4,20.5,103.2,26.5,41,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.251,0.314,0.541,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,805400,19644,1.008065597,0
Milwaukee Bucks,2017,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14,20.2,103.6,25.6,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,648952,15828,0.97197966,2
Minnesota Timberwolves,2017,241.5,39.5,84.4,0.467,7.3,21,0.349,32.1,63.4,0.507,19.3,24.2,0.799,11.4,31,42.4,23.7,8,4.5,14,20.1,105.6,24,31,-1.11,0.47,-0.64,110.8,112,-1.2,94.6,0.287,0.249,0.555,0.511,12.9,27.2,0.229,0.535,13.2,75.9,0.212,607203,14810,0.998218164,0
New Orleans Pelicans,2017,242.7,39.1,87,0.45,9.4,26.8,0.35,29.8,60.2,0.495,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,25.7,34,-2.1,0.41,-1.69,105.2,107.4,-2.2,98,0.256,0.308,0.539,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,663099,16173,1.126153896,0
New York Knicks,2017,242.1,39.6,88.5,0.447,8.6,24.7,0.348,31,63.8,0.485,16.6,21.1,0.788,12,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,27.3,31,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96,0.239,0.279,0.534,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,810741,19774,0.953003262,0
Oklahoma City Thunder,2017,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21,7.9,5,15,20.9,106.6,24.7,47,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.295,0.295,0.54,0.5,13.2,27.9,0.22,0.511,12.5,79,0.218,746323,18203,1.267721272,1
Orlando Magic,2017,241.5,38.3,87,0.44,8.5,26.1,0.328,29.7,60.9,0.488,16,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,25.3,29,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.246,0.3,0.524,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,727875,17753,0.922499372,0
Philadelphia 76ers,2017,241.8,37.7,85.3,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17,22,0.771,9.8,33,42.8,23.8,8.4,5.1,16.7,21.9,102.4,24.6,28,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,710557,17331,0.870927787,0
Phoenix Suns,2017,241.8,39.9,88.5,0.45,7.5,22.6,0.332,32.4,65.9,0.491,20.4,26.3,0.776,11.9,33.1,45,19.6,8.2,4.9,15.4,24.8,107.7,25,24,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26,0.231,0.525,13.1,76.4,0.264,708639,17134,0.720091857,0
Portland Trail Blazers,2017,243,39.5,86.1,0.459,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7,5,13.7,21.2,107.9,24.8,41,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23,0.214,0.508,11.6,76.8,0.241,792029,19318,1.107786185,0
Sacramento Kings,2017,242.4,37.9,82.1,0.461,9,23.9,0.376,28.9,58.2,0.496,18.1,23.3,0.775,8.7,32.3,41.1,22.5,7.6,4,14.6,20.3,102.8,27.9,32,-3.88,0.58,-3.29,107.3,111.3,-4,94.9,0.284,0.291,0.556,0.516,13.7,21,0.22,0.528,12.9,76.3,0.227,721928,17608,0.755181779,0
San Antonio Spurs,2017,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22,0.797,10,33.9,43.9,23.8,8,5.9,13.4,18.3,105.3,29.6,61,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24,0.21,0.492,13.5,77.6,0.192,755347,18423,1.108124078,8
Toronto Raptors,2017,241.2,39.2,84.4,0.464,8.8,24.3,0.363,30.3,60,0.505,19.7,24.7,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,26.1,51,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,813050,19830,1.121137514,4
Utah Jazz,2017,240.9,37,79.5,0.466,9.6,26,0.372,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5,13.6,18.8,100.7,26.8,51,3.94,0.06,4,109.6,105.3,4.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,806142,19662,1.008886374,4
Washington Wizards,2017,242.1,41.3,87,0.475,9.2,24.8,0.372,32.1,62.3,0.515,17.3,22.1,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,26,49,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,697107,17003,1.193515726,7
Atlanta Hawks,2016,241.8,38.6,84.4,0.458,9.9,28.4,0.35,28.7,56.1,0.512,15.6,20,0.783,8.3,33.8,42.1,25.6,9.1,5.9,15,19.1,102.8,28.2,48,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,690150,16833,1.00968626,4
Boston Celtics,2016,241.2,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.788,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,25.2,48,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,749076,18270,0.993997803,2
Brooklyn Nets,2016,240.9,38.2,84.4,0.453,6.5,18.4,0.352,31.8,66,0.481,15.7,20.7,0.757,10.5,31.9,42.4,22.3,7.6,4,14.8,18,98.6,26.9,21,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,620142,15125,0.710645275,0
Charlotte Hornets,2016,242.1,37,84.4,0.439,10.6,29.4,0.362,26.4,55,0.479,18.7,23.7,0.79,9,35,43.9,21.7,7.3,5.3,12.6,18.1,103.4,26,48,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,716894,17485,1.088704596,3
Chicago Bulls,2016,242.7,38.6,87.4,0.441,7.9,21.4,0.371,30.7,66.1,0.464,16.5,21,0.787,11.1,35.2,46.3,22.8,6,5.7,13.9,18.8,101.6,27.6,42,-1.48,0.01,-1.46,105,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,894659,21821,1.008143278,0
Cleveland Cavaliers,2016,242.1,38.7,84,0.46,10.7,29.6,0.362,27.9,54.4,0.514,16.3,21.7,0.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3,28.1,57,6,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,843042,20562,1.359585077,16
Dallas Mavericks,2016,244,37.4,84.1,0.444,9.8,28.6,0.344,27.5,55.6,0.495,17.7,22.3,0.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3,30.3,42,-0.3,0.29,-0.02,106.7,107,-0.3,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,825901,20144,1.016305138,1
Denver Nuggets,2016,241.8,37.7,85.4,0.442,8,23.7,0.338,29.7,61.7,0.482,18.5,24.1,0.766,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21,101.9,24.7,33,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,577898,14095,0.852003488,0
Detroit Pistons,2016,242.4,37.9,86.4,0.439,9,26.2,0.345,28.9,60.2,0.48,17.1,25.5,0.668,12.5,33.9,46.3,19.4,7,3.7,13.5,19,102,25,44,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,0.504,12.5,79.3,0.196,677138,16516,1.113713747,0
Golden State Warriors,2016,242.4,42.5,87.3,0.487,13.1,31.6,0.416,29.4,55.7,0.528,16.7,21.8,0.763,10,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,27.4,73,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,803436,19596,1.05957102,15
Houston Rockets,2016,241.8,37.7,83.5,0.452,10.7,30.9,0.347,27,52.6,0.514,20.4,29.4,0.694,11.3,31.7,43.1,22.2,10,5.2,15.9,21.8,106.5,27.8,41,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.352,0.37,0.553,0.516,14.2,25.7,0.244,0.516,14.7,72.8,0.219,737244,17982,0.956410094,1
Indiana Pacers,2016,242.4,38.3,85.2,0.45,8.1,23,0.351,30.2,62.1,0.486,17.4,22.8,0.764,10.3,33.9,44.2,21.2,9,4.8,14.9,20,102.2,26.9,45,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.268,0.27,0.536,0.497,13.5,23.4,0.205,0.489,14.3,76,0.205,690733,16847,0.930213,3
Los Angeles Clippers,2016,241.8,38.3,82.4,0.465,9.7,26.7,0.364,28.6,55.7,0.513,18.2,26.2,0.692,8.8,33.3,42,22.8,8.6,5.6,13,21.3,104.5,29.7,53,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,786910,19193,1.239654676,2
Los Angeles Lakers,2016,240.6,35.1,84.8,0.414,7.8,24.6,0.317,27.3,60.2,0.454,19.3,24.7,0.781,10.7,32.3,43,18,7.2,4.1,13.7,20.3,97.3,26.5,17,-9.56,0.64,-8.92,101.6,111.6,-10,95.6,0.292,0.29,0.509,0.46,12.5,23.1,0.228,0.523,11.6,74.7,0.202,778877,18997,0.930487443,0
Memphis Grizzlies,2016,241.8,36.8,83.6,0.44,6.1,18.5,0.331,30.7,65.1,0.471,19.3,24.7,0.783,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1,30.5,42,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.295,0.222,0.524,0.477,12.3,25.3,0.231,0.518,15.2,75.1,0.251,701894,17119,1.177263004,0
Miami Heat,2016,241.8,38.4,81.7,0.47,6.1,18,0.336,32.3,63.6,0.508,17.1,23,0.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100,28.4,48,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.282,0.221,0.545,0.508,13.3,23.8,0.21,0.485,12.1,77.8,0.196,809350,19740,1.04874284,7
Milwaukee Bucks,2016,241.8,38.4,82.2,0.467,5.4,15.6,0.345,33,66.6,0.495,17,22.7,0.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99,23.5,33,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,621808,15166,0.973082076,0
Minnesota Timberwolves,2016,242.4,37.7,81.3,0.464,5.5,16.4,0.338,32.2,64.9,0.496,21.4,27,0.792,10,31.5,41.6,23.4,8,4.6,15,20.7,102.4,24.6,29,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.332,0.202,0.549,0.498,13.9,24.3,0.263,0.524,13.6,74.7,0.2,581178,14175,0.646417533,0
New Orleans Pelicans,2016,241.2,38.5,85.9,0.448,8.6,23.8,0.36,29.9,62.1,0.482,17.3,22.2,0.776,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7,26.6,30,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.259,0.277,0.537,0.498,12.3,21.2,0.201,0.523,12.7,78.8,0.225,688549,16794,1.0250039,0
New York Knicks,2016,241.5,36.9,84,0.439,7.4,21.5,0.346,29.4,62.5,0.471,17.2,21.4,0.805,10.4,34,44.4,20.5,5.7,5.7,13.4,19.7,98.4,27.2,32,-2.73,0,-2.74,104.6,107.6,-3,93.4,0.255,0.256,0.527,0.483,12.6,23.7,0.205,0.487,10.5,75.8,0.204,812292,19812,0.874312704,0
Oklahoma City Thunder,2016,241.8,41.1,86.4,0.476,8.3,23.7,0.349,32.9,62.6,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23,7.4,5.9,15.9,20.6,110.2,25.8,55,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,746323,18203,0.949813598,11
Orlando Magic,2016,242.7,39.5,86.8,0.455,7.8,22.2,0.35,31.8,64.7,0.492,15.2,20.1,0.757,10.3,33,43.3,23.6,8.2,5.1,14.1,20.7,102.1,23.9,35,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96,0.232,0.255,0.533,0.5,12.8,23.1,0.175,0.513,13.8,76.5,0.215,719275,17515,1.113709445,0
Philadelphia 76ers,2016,241.5,36.2,84,0.431,9.3,27.5,0.339,26.9,56.5,0.476,15.7,22.6,0.694,9.5,31.8,41.2,21.5,8.3,6,16.4,21.7,97.4,23.3,10,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.269,0.327,0.519,0.487,14.8,20.6,0.186,0.51,13.5,74,0.24,614650,14991,0.670747971,0
Phoenix Suns,2016,240.3,37.2,85.6,0.435,9,25.8,0.348,28.2,59.8,0.472,17.5,23.2,0.751,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9,26,23,-6.66,0.34,-6.32,102.2,109,-6.8,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,701405,17107,0.787957564,0
Portland Trail Blazers,2016,241.5,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1,24.3,44,0.83,0.15,0.98,108.8,108,0.8,96,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,794085,19368,1.21004349,5
Sacramento Kings,2016,241.5,40,86.4,0.464,8,22.4,0.359,32,64,0.5,18.5,25.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6,26.6,33,-2.48,0.16,-2.32,106,108.4,-2.4,100,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14,74.9,0.202,707526,17222,0.952537709,0
San Antonio Spurs,2016,240.3,40.1,82.9,0.484,7,18.5,0.375,33.2,64.4,0.515,16.4,20.4,0.803,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5,30.3,67,10.63,-0.36,10.28,110.3,99,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,756445,18450,1.144141189,6
