Team,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Op_eFG%,Op_TOV%,DRB%,FT/FGA4,Attend.,Attend./G,Payroll_Over_Avg,Playoff_W
Sacramento Kings,2022,241.5,40.5,88.1,0.46,11.4,33.2,0.344,29.1,54.9,0.53,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,25.8,30,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76,0.176,577583,14087,0.932176129,0
San Antonio Spurs,2022,241.5,43.2,92.7,0.467,11.3,32,0.352,32,60.7,0.527,15.4,20.4,0.754,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,24.5,34,0.12,-0.1,0.02,112.4,112.3,0.1,100,0.22,0.345,0.556,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,615588,15014,0.530488377,0
Toronto Raptors,2022,242.1,40.6,91.3,0.445,11.9,34.2,0.349,28.7,57.1,0.503,16.2,21.3,0.759,13.4,32,45.3,22.1,9,4.6,12.5,19.6,109.4,24.8,48,2.29,0.08,2.38,112.9,110.5,2.4,96,0.234,0.375,0.543,0.51,11,28.4,0.177,0.535,14.4,75.6,0.199,547343,13350,1.01510525,2
Utah Jazz,2022,240.6,40.6,86.2,0.471,14.5,40.3,0.36,26,45.8,0.568,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,113.6,29.3,49,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,750546,18306,0.968768857,2
Washington Wizards,2022,241.8,40.6,86,0.472,10.5,30.6,0.342,30.1,55.4,0.543,17,21.7,0.783,9,34.1,43.1,25,6.4,5,13.1,18.8,108.6,25.9,35,-3.38,0.15,-3.23,111.1,114.5,-3.4,97,0.252,0.356,0.568,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,637215,15542,1.055028288,0
Atlanta Hawks,2021,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7,4.8,13.2,19.3,113.7,25.4,41,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,59288,1647,1.055269658,10
Boston Celtics,2021,241.4,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,25.1,36,1.46,-0.14,1.32,114,112.5,1.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,30067,835,1.057377997,1
Brooklyn Nets,2021,241.7,43.1,87.3,0.494,14.2,36.1,0.392,29,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19,118.6,28.2,48,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,30491,847,1.254521115,7
Charlotte Hornets,2021,241,39.9,87.8,0.455,13.7,37,0.369,26.3,50.8,0.517,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18,109.5,24.6,33,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,68255,1896,0.87517922,0
Chicago Bulls,2021,241.4,42.2,88.6,0.476,12.6,34,0.37,29.6,54.6,0.542,13.8,17.5,0.791,9.6,35.3,45,26.8,6.7,4.2,15.1,18.9,110.7,25.6,31,-0.89,-0.05,-0.94,111.1,112,-0.9,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,13655,379,1.055718884,0
Cleveland Cavaliers,2021,242.1,38.6,85.8,0.45,10,29.7,0.336,28.6,56,0.51,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,24,22,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,91476,2541,1.030542865,0
Dallas Mavericks,2021,240.3,41.1,87.3,0.47,13.8,38.1,0.362,27.3,49.2,0.554,16.5,21.2,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,26.3,42,2.26,-0.01,2.26,115.4,113,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,94849,2635,0.932410811,3
Denver Nuggets,2021,242.8,43.3,89.2,0.485,12.9,34.2,0.377,30.4,55,0.552,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,26.1,47,4.93,-0.11,4.82,117.1,112.1,5,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,54563,1516,1.079792324,4
Detroit Pistons,2021,242.1,38.7,85.6,0.452,11.6,32.9,0.351,27.1,52.7,0.515,17.8,23.4,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,24.5,20,-4.47,0.09,-4.38,108,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,14250,396,0.669850342,0
Golden State Warriors,2021,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,16.6,21.1,0.785,8,35.1,43,27.7,8.2,4.8,15,21.2,113.7,26.7,39,1.06,0.04,1.1,111.1,110.1,1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,33457,929,1.392368231,0
Houston Rockets,2021,240.3,39.3,88.5,0.444,13.8,40.6,0.339,25.5,47.9,0.532,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5,14.7,19.5,108.8,26.5,17,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,117009,3250,0.897449639,0
Indiana Pacers,2021,242.4,43.3,91.2,0.474,12.3,34,0.364,30.9,57.3,0.54,16.4,20.7,0.792,9,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,26.5,34,-0.04,-0.08,-0.13,112.4,112.4,0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,,,0.973096608,0
Los Angeles Clippers,2021,240,41.8,86.7,0.482,14.3,34.7,0.411,27.5,52,0.529,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114,28.8,47,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,13901,386,1.307335431,10
Los Angeles Lakers,2021,242.4,40.6,86.1,0.472,11.1,31.2,0.354,29.6,54.8,0.539,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,28.2,42,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,23313,648,1.177095461,2
Memphis Grizzlies,2021,241.7,42.8,91.8,0.467,11.2,31.4,0.356,31.7,60.4,0.525,16.4,21.3,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,24.2,38,1.03,0.04,1.07,112,111,1,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,61449,1707,0.781404492,1
Miami Heat,2021,241.4,39.2,83.7,0.468,12.9,36.2,0.358,26.3,47.5,0.553,16.7,21.1,0.79,8,33.5,41.5,26.3,7.9,4,14.1,18.9,108.1,27.4,40,0.03,-0.09,-0.06,111.2,111.2,0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,,,1.034117268,0
Milwaukee Bucks,2021,240.7,44.7,91.8,0.487,14.4,37.1,0.389,30.3,54.7,0.554,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,28.1,46,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,64780,1799,1.210162675,16
